Account,Token Account,Quantity,Percentage
5Q544fKrFoe6tsEbD7S8EmxGTJYAKtTVhAW5Q5pge4j1,CfkPL9Xq4kJRK8uehf1dw8DYwm2rXqaTEa3ka9MuNK78,144636832.91,14.46
GGtNBthsPiFt8f7LTjBr2aycYTZsgaTmDjZsGADzhatP,J4HVngD2yz5wGnKa8hHLbhZsFBSTsHyiuh94Le6H8cN1,16741238.16,1.67
GY8Grp5XWGYdgshCx8UjtMWTSQz1WAD84Y7SyeYES2NP,2HqpU8gND2ufzzn9C1pZc7MPhyTC4EVmc9fbjg87LdRx,12411077.47,1.24
D5fjvNy8anvDfg4QeTNHF3nTgCrvTej2TTih76pHWJnE,BEyMCAocFXxn65DryGW3MDBSxX2swAFXBtoj9daJGx7J,11240590.34,1.12
FnjmKARGQ3sorfLNzx8AKjLhQiM1U7WGotHxGwdqRe3H,DbmH378KzyVfbf9xLay5syVAJgqrroSCNgkmMhSfChTz,9895743.00,0.99
DXXHqbL8C7deHk655BiURmJLVGzCkhE6xkkE4xj4VJzT,FWXDhGyTpy4xE28vwG5ZdHjhf95ADgBsrm4sgvgSE9SU,9201846.00,0.92
GcbiGxXxCjdXZ4s8xddKCuoNKetiFYvpyVo7TRFaZXZv,CKsbfcbFoFmQAgPdUjBWsKRcWiFAt25xVE3PyvKuBfpp,9175632.00,0.92
2USzGz6VPiLyoudrGHesEzRua5WHcp6zRN9FEw2UU2yd,6i7ECYSKrW4j2oGEi8Wd4LqJdhSLA1zWrxJUfvyBNDWm,9103824.00,0.91
DVvweDBmKbQUPTHa3GKMBUx9zcpW3DxeFxUEdQ5wPsBd,gebjWphMi9GQ1GGLqc8whp5nuCvvTwdTWsuuVs82bsX,9102386.00,0.91
BsKCiaNThpPYCMFDbKENs8qwSVD9hS2iZmTMY8eov6SL,7LqP8eSfJjSnmEmhe2V7njbNVZPKNhioVWTb66NrhZ8H,9092314.00,0.91
5cJpiriKN9qHzdtQ5QkihYDJwNBrbM56cVfG6BoVaFQb,EUdXr3gFJDmePav5xZrWTcHS4joU6y87ArmUv9WHi9pY,9083612.00,0.91
RjGDjLTb9CoBQwye1MK2ZAh8hZvzwtbBWZf3BBZGfGM,AWvhowJbYnzqJtguT1aXYzW61M4bjeSkNifc32SWMh3J,9033612.00,0.90
7RbVARfneSU4x5vakKRb3Cvc9HCCNuZD5ohWQ7UnYGjt,56B9FH3MG2TQU9BL84fDeXTJ4FrbAWX5DXYVxcKb6YzH,9021638.00,0.90
GMxygcwz8HSxLhgY4Pn4eooQoE7aTjSQEDredQrVzirK,6t852e8yGtuBBku6k7jogVKr9ziWxF35jLbsE91yJizM,9000000.00,0.90
89AAbgbkCNDyFP9TKK2AGdTgeVu3G84tGQpxSXcydWaD,5WgLBu76JS3Jnwzd4XYaL83UjM8P5ZMxUmAuoKtYhvZm,8974523.00,0.90
hURBjL84NakdJuNWJHSTmn6nscUwXS4JCgUU5EEH92e,FV8g3jVMhZZdHybMPvj23wLQiFnhXDd7JjLM7XQiqRnT,8932748.00,0.89
ENF2ymbR1s9BxAKpfKswBdXV7HsL4vK9rD5UDAb5FN56,FXJzsNDgsveBX2KvZKWYVASnPAxfnB7ysXJvuCakq29w,8923104.00,0.89
54u7WzSFRoaXQnxdm75U6AdycqR94fb8Yv8vNEUY3mnH,3jhakV7p3f7Moekmu5vbu8ma7FZJUmHYdxyhkUzH6aBC,8817826.52,0.88
57UhPTeif2BwU6N3wXtNmB6iyePMHfCFn3XWq94DJ17G,G1tmzRmtdc5MYKReyXXbv9tT5fVcDVXLrt9Gh2gSbsWx,8742163.00,0.87
EXnEPNQYdhEhAK71ACwpFakpQA7k1qzsJAXNir2RXzjh,DfcH2jHpLoNxdsLwVoSmuaGDNjptKbuJn1HtTJ6EeAQj,8712345.00,0.87
9RddQcE3YMjqVLcEBXveZm6dXuTaEinTDsjzuj45rny7,EN7HEbCskqibVrSaT5TaY9mXqEaUF7MpTj5BtETGnaE1,8539412.00,0.85
9tzAbDwtgZawphbXFJFkSLG1ddiBwhWoVCfavTXUZn8E,5Dqvz2eTXCspeB7jsG2TAJzaUewmiSGHLkDpogVUvDss,8539241.00,0.85
EQRSvcE2yRvL53Z3e4zUJLjoE5CaQaJDCKgapKpXaCFR,8v7QZHSnfWqRkMX4eybnkxEBTaxeGsoLVVCNxsqmhmoX,8485327.00,0.85
Bbeiyk5msyRMrsCDZQ5QPeP7WCr9dya1U88JHyNZAsY,9xRzwaxXoXcpWitkkfn8VCFQUEnugLN562B2Z82e5apr,8472315.00,0.85
64Pw9y7tUPcbEWQqKRYmfcorfsfGM6quPJDnwrrrP9Jv,6GQeWx7p5YqBQkQqF5xZUJraxan3nATKjmcXN1TmmNod,8423961.00,0.84
FnBxSrHfkMjLY7KH7tZMPznHbBJ7ZXc645y829d8AEwZ,23z3CMqUHdXBEbfJsV3eLyUtpGxeRhBuhxm6LAyqAF4V,8310624.00,0.83
7MnMBSjv1T9wFoPoN7twJLkGxi8z8kxAnS8wxNF2Tbm9,9gSNeCL9659SNrjP6nbumeUE2v1mJ21RpBTFyVNSSBJU,8261793.00,0.83
2jhXUMmsxNLW8QFghDTvNeBwU71xUNo5CtdNReUmCZA4,F38xvjDdarmLFdcoJDGtEfieEoQLP31uCFPwDMA1ZdEP,8153647.00,0.82
8Lo5VarNEwnz6DNwpWiipMSAJpW88d8HGcDqUPPkVXfJ,AAvTrSKwtGSeDwbhGYKkje7kuby5QhDVCpADtsTmFhqQ,8123947.00,0.81
281s6iPmia7R93u1Btzu86k7nmDKUCqbgdVFuFEEroMe,FTjcTWMRujwcJ8iHUxEmPY5rCVqg6crjwUmjj98YDPap,8092746.00,0.81
E53KLcUR5dBkJqtDSRMfU1TEqRLuo5vXqr7VnmwU1cqs,9aSDcwUgoFPR6amnAQgEu3Agw5BbxWMkPAimHMCfGjd2,8088319.24,0.81
AxLHKRYHAnpMxk2TDNku6cvra4e63a8zd9BvByorTnhy,6tRE6dSQWA8gT9x6iP77VH9WZ2HxJ85U9tKEbY79s49S,8083612.00,0.81
2NXGoQx2NoUz4HymKG2pjpPn75wFhPqb5WNkYH4ybQ7N,ADrAX95W7jWK613ggDJjKyaWekd8pvwP63cAwJ96RJyx,8045123.00,0.80
HcaUEzc3jMLo2RWjzpXGo1koPauKDtJHouCcTDGN4TnX,7q31AgptSMUUcdCvDW5JLr52FUmQGh7mSmVuoQJxmH6S,8013459.00,0.80
CezJYqWQ8XwRcGwC4DDfAhLKm4uQyMLzdM2ViqhXgnnv,BYPEidBTsfQzxwwbACR4eutQ9ER3zwBnQqVNWKPkgyQd,8000000.00,0.80
BcVbwPDpjs2Dqw1ugB1T3aeC99dGyiT2Z79rgD8sgLKn,9cwZ8pZu9tzywRtwLWS2a66vyWU3SBeUDECXKYiNRH2S,8000000.00,0.80
FsVF4p7oVwzch6KeSuYaaeeyHS6U3ThxEwkF55g76CCR,9238EkgUBLqT7jB7kXYc8tK7zHYysRKaak5qJygz6r2p,8000000.00,0.80
7Jpx6gnWHeE7xcRJKLN75qcQxZMxtPmdMz797S8bUTBm,9ci5vi8oarhLJqn1EgMxhMm2T3p3LKNidF7yR5Q13gB4,7991624.00,0.80
6FAXy7GSDtSGQwNzmUYPjcjtYQLQA6w9Db3QtQboZFkQ,FL6gaqUa1SwN6ZjAZ2d24myBEuudELLqrCRH2rWJt3kx,7983465.00,0.80
BFZek7tUAguQDwStVEGACrapwPUe4cwJs4EYeeBQHK9o,CzgAYSonkrESn5BebSCHM7saxgmHPZk8fNavEF9XrXMx,7976132.00,0.80
7qvq6sWyXm9sh5JVxKicJtcH2uZJELX1PTNhi5HMAbTD,BPa3oCavQi5n66KY4yf93yhKWN2Zr5deT6aoAgHdYbu1,7936518.00,0.79
CMBgBBvYjpmMrP9RrrvKqPYE7npveReeuvf2UqH9C3PN,4qfhT5tFBDCPfgxRjDfCytqJmqYvUw8YjTUAR9wkUk9v,7914650.33,0.79
AUpU8NYtpWExJycHUGUqs8ZT7Q179R5iNh4YMZban51k,3mv7ieGsphQ72jofaxYCqto8b8D989JDM25Ckt843kF2,7902348.00,0.79
GUw5PfcasfBUQyKxp7t1yRuqBuXZxYK766Z6iJCKt6e6,732s1xjafrevaQMZc5G6qtU5v3UgLutk1muMy6HAQAAB,7864523.00,0.79
5gtcfVnNqWfKj6diiMwvUg7neLmkd9MWWkPZun94gJFB,3SytAd8VPKrUbXymugKfJ1dMQ2d2fgdKQMN5GsUjCVFt,7860415.00,0.79
asHYcwpACjKc9TMYoBiirvDhXPUrdYkf7yJ4uq5Myu2,4jcDuRwJ4kDWCD1Y2xsobErKH5NuSGJZmLdMYu6Sziab,7839428.00,0.78
DYrmYSCWg2PKmBiWR8zzWNyxcx6h64Sb47rfxhWcHag8,8WdbAJSgaUKQDoihQQbakRWWbwLH8FtFacFu644hsCh8,7835042.00,0.78
FBGu2YsjE77uJkZQ939y3Lhfe9d5tkCAeWpn4C5QmLfc,HJTLRQpZ7qmxCHQ34BF9GuoY2no6SisNeB2idc66odm2,7802136.00,0.78
F5ZosoPRxjxEBLDnXCY9PP5N61dDp2Xm44FV8PrNtLeE,AjQriJCPTK2SwvjBCcR8TnJedxzPaRpin3YuuAewx8uJ,7783402.00,0.78
6yZaexRwbQKDXHa9ckKzisPXde89SesSdfZAfsE2yBwj,CY9CVsfp9cj5y4yAtXzB32J1hRS59C2VcGvCgsk9z42F,7726523.84,0.77
6ZmLbuW6DPD7riNffhaUwnr1q3wdAmR3GwC77SwZtoQn,GKoo8LUdyEFCeRqYkqwvKycYHXRRG6eZUSTfqv32SYL1,7718423.00,0.77
C1s6dVo8UAouxDkaAa8qfdDKiDYeQD1rGu9YPWn6Zok6,DVyhVSHkyVoDxvVHMbas4rAXJkm853n4RiiyxsZCv9hh,7659382.00,0.77
HvVTGg5yjd7ufVVRq8W1Z6CTVGVDYSb7Sazv98Y8Ncxq,3y9dEafBMEgDSU1SwysPJaa98ZJkZRcTet2gKjJVCDBg,7648035.00,0.76
B2i4hEAohqe3oLwQMBLZ1kwb3kRen7N7pFKCMyJp3zHa,BXCifYB3LDhfrwFENq3VP5iMohEZd7kaLNLpHvrsHQyM,7495123.00,0.75
HpE2kc6ryadMNF8j7cULcMEQx3JTv2zwHWxvBjSmHHay,3Gf9t9SUvBP5pdRokvdjTxtYc1CE1HKjec2wudkHihNQ,7430927.00,0.74
FdUp8p7V3F6jdtWdAwoAzE6G1NmDyXnSorkS9XKZxNVx,3vpNbZkRMsm6n53ndbqcMbzLTAgZgexXk8s9GXcH5CR5,7423462.72,0.74
6Wn1a8KwSYSVC5thcqdk7EEtzBjq4gfXBjY8mXmUuGhw,7bBSc1mf5jdsW8jtkeMerLj8j5DnehUPCfNehCAaTR2U,7415458.47,0.74
EodgDa3CpYvhfExhqCP5W7eFPrkKH4q1gsNnZuTTh7i8,9owqCKhnwMgST2dQyV12bWoFszVtFp8heDn5mF7CezQk,7400329.35,0.74
2PXVmgJAabXrNUi19cHt7LV4MfsQZMHtWhCKXKtCQsdX,26ETRUut5ug4QBkfzDxVAXBwjEWF8iE4QLdQfNxnUWYU,7356912.00,0.74
Eq3SyUHkY8W2aKZvB5MfJmatoKDYSbVQsnaoNzoGN4hM,GVXqwq1u7KvnNjAx8HSje1e7WPgqjjWgTT4DjMqA22JL,7356892.00,0.74
EaHvhmqUPApUbgZLZJ8qRFLmJvjyccM8iZwBUobwKtqK,H7jVix2Xe4c4Ssyh4MSfmugGio4kSNgPUknnsfoxMXap,7298406.00,0.73
FhEWzRa1GyBasx6Sib7xGxj6LiEdmf6EU2UFCay32LHF,6WaQjewqPY9iqWZRAaX4G24Y5yL8snBH9aqRDw73nd4T,7295816.00,0.73
FK2iAS6242LZpDrYXm8qbyJN8omLztagzz6sjzxT2ZJ4,AH2nohzympXKxu2fY3AkeXByuAJ3YxemY9etrJPJkeci,7273945.00,0.73
J3cKfqzxS3JnFnYNDw854wgQ9zAFMUcyzgvpDyymcU2h,AsUs3PWkUc4QT6cgDCQ1AEj9sRTnjLqSL6jXXEfEB41L,7253846.00,0.73
7WiUMNLvkyj162P3rsuRvJVbwU2DYyXwE4gpFUjsC2aN,GzPsKDgX3HGhjKDZ1JizqvQ3c6UttufZArxQp2kVyE9H,7238415.00,0.72
HfWaC9GA2j7Pr9KdNGEQGPwgvaoStLGTtg3dDabeWfPZ,Fr31b2EWdcjZPQzJ2KjfzFf9eZ8nrvNKJvYPqV5F1wop,7194385.00,0.72
5k2PuDWxpFWA7yApgwRhYNmo9ZUJM3tMF5rULkJA9Ujb,qMp7aJ7G99cuLDp2LLkeCzeD6xnFKshmvrmK5bRu2YE,7143958.00,0.71
HSMm52Maphnz9zywzKex72sdNnkfZCmHM27ZsAEH1BgG,4VnX99yMsUf8aEFb3SVkAFQGp7ui7DCBZXWHbAWDVtgV,7140928.00,0.71
4cdJ2TzrCNvv7vRVBebAggAyUSVuoZKqpH9zcdYPvbBe,GsezPwHFDaVWCmyG2BZs3EPgSAQXbRbuNVwmg2WqWNrw,7138941.00,0.71
DhR3pEN5WfH6djt9y5kKDk9QSTszWgfK9MGGQD5eAiWo,GaUv17FJMV3YAEmwZkgJG8UZLFz1S4ULZ6FNPWGLaN1c,7029482.00,0.70
7HNzdUzUcbw2d7QkhJ5f1B7aNfLDVmFsEZRNTn5ymbfK,Fcnfnkmp5JaEPVJFN8qz39UM2EPxBrkQkaRGNSj37bxq,6748274.15,0.67
7V7PgXNKkRnN87f6Y5Xi4WUEsrkubzRqUZjAK79YDm4m,Fey8GrCcTpv2SgcQTJLf3vjQrAWvFqLMpQbdXovVwLoj,6594832.00,0.66
4jju1x9nMFM7K564sAnHFZ7sHeHqnvK4KUPbqgnc1rb2,Bz5z3ch1Rhmt1Vs9jD1eMoqWDe8Jk5CFmkgES7d4Gp35,5744710.84,0.57
AEn6gKNSSppqvn293tWMbNmDrCABh9DadWetUALMnMuR,8MmtYvH3naCiL2jmxuKEZv6eCRtkeiBFpf3DZsYCRQCr,5442992.17,0.54
Ay7EGgj944kMeaV1oZCDYqGKSpgiXdJDvALiC9THVS41,CUMe8SR8h4MxEQYc9ycdkkqTYBJDYRwfh39UxBahLqKG,5431985.00,0.54
3cPswmbMHdRA6q5KwgYBzPbS3TckJL648wGwcy8jqHMd,7ouUmfM7mg9ic5BJYHxBLsp8ECNDbyZcEuTvRqN85NaZ,5015596.78,0.50
36NtgzTxFqHKgpmLdn2uBMzwBoPG1y4qTTYmh3vAQfkJ,6mbGpFvrwxJgzkEA5vz7CXFAsgLSwRFN9HvM5CAraX4L,4611942.70,0.46
Gz28YLJwqrhs1vjPyGAPkjoB3M9NxbyC5PKALAqQbHbH,CEXpxPPNAACJo8LYEkVD2jAWbfkje8SD2WpCgjtvnabb,4483808.74,0.45
8ht4Rp9Xbs7EAfdKvWcZojVaEkJsi99BnB9c5jEHEJ4L,424mY1g3cnDrfxY68imqrSZ6tTuxQeCBUDHxifHCvBZx,4249240.97,0.42
8Mhjou7gLvNaJgHTM8AkKvRaR9hR9n2bWmBFxww57BE5,FbwQf8QdH2BbevrNXEtuNqPRmRECt63mTAgJdWsXQtEy,4232176.78,0.42
5Ucg6ezHKC22XQkEe7z45hSdWi39vPwupHeQY6PL9avj,7byqPr3hK2BnadWASYp5FcAtx5NrAjrsg1EejKDZ9y9c,4127698.18,0.41
4rrd62fAGezmrdEdEQ8Y3qvmw1wW6suZQLBH9rvXKqDo,A75pSZBDt5QuL8ynNpNVS8ZmhR4dUqRQoy3jDLw3Sc2j,3777548.75,0.38
AVW8dbXiKAwyzh9e6pa3XakaXpwu8VMYaosGDD3BTCQW,Bq7QWuBfx33TCcCsVJvb5kd7H3CNd6z4YYKBUcahKAns,3440290.63,0.34
6NCLdiHxDA51g3xsJcsayLWZT467RzETokw28GN9N23h,EDaNWYb6EzWVD2bQFLyGNEVc2hGJsbFiy5j5xEVwiMQq,3405246.97,0.34
Ajus7WzRQ6tMkEkautuSbSsmiPapFHFkqbGojuu6vGzo,9FziJpUNRsk2JQFZ7JBz7fDjrw3FqivhHvi29YvgrBJL,3395223.11,0.34
DoHf4zxsDUXVgSNy3oQXcb3t4ZHkb39sQMNfxfGFJAP7,2YtPUncjwiLgH7kwZNW9pCfb4jkD86awYxX1wtAm3W5f,3383201.08,0.34
GXmuWYVmgr6mU7ZkAa4LeaBneUSzwJ5grpbCVYUkShxo,8a38MXZfrg3CQTgoJ2YwXoDNpkqFWZSM9frcdQsio1C9,3261036.59,0.33
J8YSCSNYsvJyzgK4ADTzcGmpuUKxBgHYxyQ5pFoyE7PM,HZc9RieyzjKif48hswmDVzRZFsusoCQrLih96SJL1LF8,3102215.53,0.31
8ehupp2748QhwXbX9PLxGzEEwSLrnaqCVLCx59UYvduC,TDaNXtDXDCi59isksxqvi56iARhaBC42pkQfpCb375s,3002097.38,0.30
DwmJ4D9NcdyqXbgxFt1PYWuU3myYZSoG3f9GEjpctFnV,Au7hHWtpBWW1dHW5ZSp8dJR5eoXppGpdwDJm6Cgr8TN7,2969860.43,0.30
4XZBzazZiG3zfK37ixHLP1bcstPFucmAYt9o322va5up,8Bkp9yjMuebKi5Wg6cN2Z8SZfo7fhFYC51qTFrYnkUk9,2771543.26,0.28
H77Aqq8rtf2dEbbpZe57v5Gbk1fByXrnWrHnQ5G46bXT,ApMoYPyQhRwGM7BXp3zir7pidb1wJqCTzDiFBQqFGQAj,2707501.42,0.27
2EostLK3xfEL6giExd5gNedXy6VM8w6HH9CnMfVUQdE5,AqkgYWJdwKA23kw2sn2jb2wxJ7dbFXWC2n8ormznRs6q,2508382.93,0.25
Ct5rEJWUrGcphHHKZU55rLz7smagUGQK5332hnQidswW,HSx1LAbipw8ECN82VhcfNGpmoENCVzcncS9eVNmFoX9Z,2474307.48,0.25
AAG6wEqN4yUVMBEWvv1uDndJHBR8Vjg87BffuZYQ8VzA,CPQ9bfMfJLjMavL6Q9tBiqDRmiwvJeu85Vu38b1TpTeL,2466269.02,0.25
GQU465NTnFbzuoPJm62yoDsRePd5tG4StWW4nGbdXvvS,7bi3nAVAZnC61oaJ7VGjAVJ5U2ffcW5ju9oy8dkGGq2W,2364131.80,0.24
4NGEEQBR4NtpwvGRUNNXYCimZCCqJry7ZqFmzofteqNk,5Qgdum3e2aXHBr9dK4TBtJ2HQb6diTiJoXnGwY4EYQRm,2363680.67,0.24
8idNsaxhUvuDPuo9qyTFUKSVgUYH7X2d6NxsJykZ4BJS,HgFqDwBSDBRKnFGm5cRDyFPUvWLvzxAxE4a9nrkmNKu1,2337745.96,0.23
CVxSAMz5s8XKPFfHCUc6wCiKmikaxVNGmivC1SWrrzzx,Fjx1s8vDkPJqUPDETFJC3vrL9nQ3jWFdWdxrgas65KvN,2311375.06,0.23
6CXcyvYTu2NYrpqpcPKXNAYFarDUmH5PRVTpa81dkpjT,AaPwXnYWub6ERJVb9GhZ5RX6KY82Yc8gZkUSf8uw488g,2272850.49,0.23
BxLxvCmL4ZpCKo66WvbQEAnrakojwpr7bi5aaXW433Nk,2TGoY4z7gdnJUBNEjjnfhdtRQCUXiHYC6diTY6ikMTAs,2272731.34,0.23
3aLEkHvEaaqvUZ71ZYWd99FNU9uFtTMTaTw5FQuyH29V,GkqewFbVrMTH1FiBKTRnKGuqcxjYVs6oEzYb6f6obRDr,2259907.11,0.23
H4gJ324jgvBweuzQRs822ZxSVEVo3mEG7gZepBaouuwm,Y9XKdFnFpMK8KLB5RBUq9kVGRDch9j4Pf2VFhXf9TW1,2130876.89,0.21
CPep14XgaDDNRMnP8ZjHVkvkhZPasRNYFEtDHvDpvnjR,HmVVPSoD6s67XtSCv9UxjXyJzCJs8bfHU57PdVuHmNPo,2079361.16,0.21
7jmXkbWJZUna8MYjWqFxBrRCkJu6pTwdMytRong2EzQ5,5TnpuyVTEE7jTRxo4bTiJ3TpuEZjwd696s6s6saicWXs,2058501.03,0.21
8EPHv234qXnBdhNJZKKjtANxsMWixz3ZdKrb2WaRxhNr,4JrPonu7wum2DRH3JmHXD7fD77KJ5dukCJd3ZXQbwHNM,2005299.46,0.20
Cme7hhf6JqtzcyaneWxqV8o9BomTyMBfQjKiQ6y1iU39,HTXEsCU38MVf9pxd5DfWckUDbCGjoYxUcGZ9WDELhtMX,1986981.85,0.20
AtTjQKXo1CYTa2MuxPARtr382ZyhPU5YX4wMMpvaa1oy,8KSmBHiXCK4tP1vaJ759Fe6r22RQcZWBMVbtHKeBDxZD,1980603.93,0.20
SDFtUTStUtuMeREE349PXR3QijQuyu736Vg3PSGhGE4,F2RbnMp1urGGj1UTwSy3JHDkVZH1kQY7RtbxkGF5L7be,1883880.92,0.19
7ULGqkRwaD6oZdHVLiu85ueHRS4gjQr6o614JB7zjkoN,8mNF5pGQzMm8q1MkcUEuxhDjTxXG3NUWyhpp4UrW88SL,1792792.33,0.18
FLc4VynxAfWCSWDMzRbLPcEbQAUJf91pHoqPm6dThSq6,ousL7H8xGY5NLKmQmP73fuS8PgJZyshgiVFLpLqQzLY,1785154.86,0.18
44gezT5gaKLzVLoNytFe63Lcw3hjdEHVSuRD6qCm2CBi,8183cY2W6qVLyqQm4bNr9tqZBwcDwp5GiTtWucfReK5D,1777309.30,0.18
4suW6eC1veivTgbhQ7bi8azCdaAVFZ8iueHvhdQrv31n,CDFSi1Rm2JMra4y5BiBtamP5ifeHSAjFwbvR228zWYjU,1723140.69,0.17
D26CA8cinPWhjfaUq9W8Di8tAsjL9B5Gm4bycqZBM5dZ,GGpLnUZewNWsgstmyyErHhhvqgFH8Y1tLWenCdp5gBB7,1712005.09,0.17
6sEgZvcjZTQu4W8vaJYt7gLzvfVxBE4imEFCP58P8FeX,CFLDg1NjYYR8zdQscXcyeKfhdzZRJ4irnJuf8efocB7N,1694918.59,0.17
7E4hW4ehA6P5m75PFBevj7mW66U72PnzWqUCfqy1JcwE,72Y3Bq6Jaa1ynFqbG9rXSA1NcG2z3tb9BTqPGqYQFr79,1690157.15,0.17
4Ah5NtMPbX8vaVkmzePQTmoE3568ghAP1xJtaJ1JhUvN,EESqzetojQvqpvu1SQZgWyUZrKp1tz6V2VfCr3a4n1Kj,1643519.60,0.16
6mDXYQXqPqzeHZ1sMScmukDbajbGFBCFDPbsUH3DRSk3,2M9SiyN8sRTMdTVL5o1bySZEVzVmFhLNZUNLKPMyRR9V,1618254.71,0.16
62LQpPnQtCjpMfHGaem2BfR3h3VHxKjhNZZkJD5jv1em,ToWURfrQSPSdKvDR9L7tsmhdaeFCyNBcftkaMXoY4iN,1549751.38,0.15
7aPTbW6wpMyfCBzZUP7uPn4Pv6UUWzhGKi2nkVr9UQ6z,hJkQFCjy28knrEJnm6vBsM6i5gDwXLsNUqY7Npu7oRs,1479842.41,0.15
5kVnQuymc4FLHjvy1pWZUJc7EEGjeezo4amwizUzo3YF,FGhSCBwY4iwtDPbmBR3Mt4Q3LHeydq91EucTHRBz1ZAd,1447081.85,0.14
EobnGera9wJ1WSriqpB1kAQH4v6xNsTMWF7dtQ5nfgK1,8698ZYRWmmMwFGUHLsf3bENUbhpn1zefGjUjgRSBoUhG,1423934.83,0.14
